CAT	EIG1	EIG2
2	20	500,0
2	65	1535,0
2	26	636,0
4	38	951,0
4	19	520,0
2	15	381,0
2	34	825,0
4	56	1368,0
4	15	428,0
1	21	503,0
4	28	724,0
4	54	1318,0
1	29	691,0
2	38	911,0
1	14	340,0
4	24	629,0
4	64	1554,0
3	12	337,0
4	12	360,0
3	34	842,0
3	38	933,0
2	62	1465,0
3	15	408,0
4	64	1547,0
3	23	584,0
4	62	1506,0
3	11	309,0
2	36	865,0
4	34	861,0
1	54	1260,0
4	16	453,0
2	65	1534,0
3	11	316,0
2	39	933,0
1	30	714,0
1	25	590,0
2	67	1577,0
2	54	1278,0
3	42	1021,0
3	22	571,0
3	67	1604,0
1	30	705,0
2	60	1424,0
2	63	1488,0
2	10	272,0
4	51	1254,0
3	60	1440,0
1	46	1073,0
3	10	285,0
3	18	476,0
2	35	846,0
2	24	588,0
3	44	1076,0
2	22	551,0
1	59	1373,0
4	52	1276,0
3	12	334,0
1	19	461,0
4	15	420,0
3	15	407,0
4	14	405,0
1	10	248,0
2	61	1446,0
2	54	1278,0
2	67	1580,0
1	14	342,0
2	46	1102,0
3	32	794,0
3	68	1628,0
1	58	1357,0
4	39	977,0
1	10	253,0
3	29	730,0
3	37	916,0
3	64	1528,0
3	29	723,0
1	70	1626,0
4	47	1160,0
2	32	774,0
1	40	943,0
4	47	1158,0
1	32	756,0
2	42	1010,0
3	61	1460,0
3	64	1533,0
1	49	1150,0
4	45	1114,0
1	21	505,0
4	30	770,0
2	62	1470,0
1	57	1327,0
2	66	1563,0
1	20	476,0
2	30	732,0
3	40	978,0
2	13	336,0
4	69	1667,0
4	52	1274,0
4	26	683,0
4	32	814,0
